title,price,company,moq,rating,nop,image,link,scrapedAt
2022 New Arrival Casual Oem Thick Unisex Big Tall Blank Black Winter Wholesale Hooded Custom Puffer Jacket Men,11.00-15.00,SLIDER SPORTS,Min. order: 1 piece,4.8,nil,https://s.alicdn.com/@sc04/kf/A72d762e4119f4787906cb83b3b830c3b0.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2022-New-Arrival-Casual-Oem-Thick_11000005723799.html,2025-02-19T06:53:54.511Z
2024 Hip Hop Harajuku Men Jacket Streetwear Safari Style Hooded Autumn Spring Gothic Clothes Techwear,11.76,"Quanzhou Licheng Zichen Clothing Co., Ltd.",Min. order: 1 piece,4.3,2 sold,https://s.alicdn.com/@sc04/kf/H6c82470bf5b44c7095604becde54dfcbK.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2024-Hip-Hop-Harajuku-Men-Jacket_1600881295112.html,2025-02-19T06:53:54.711Z
Women'S Oversize Blazers Fall Business Casual Suit Jacket Elegant Fitted Solid Classic Single Button Lapel Outwear,6.59,"Shenzhen Chunyu Electronic Technology Co., Ltd.",Min. order: 2 pieces,4.7,13 sold,https://s.alicdn.com/@sc04/kf/Hf3ce963c0a9046f3a050c750f592432em.png_300x300.png,https://www.alibaba.com/product-detail/Women-S-Oversize-Blazers-Fall-Business_1601055361290.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:54.904Z
High Quality Factory Wholesale Oversized Custom Logo Vintage Carduroy Collar Utility Cargo Worker Harrington Jacket for Men,29.82,Big Buzz Company Limited,Min. order: 2 pieces,4.9,nil,https://s.alicdn.com/@sc04/kf/S206f37b3a3984ad59d0957158f9c46c1I.jpg_300x300.jpg,https://www.alibaba.com/product-detail/High-Quality-Factory-Wholesale-Oversized-Custom_10000020547581.html,2025-02-19T06:53:55.093Z
Maden Wholesale Men's Coat Vintage Fishtail Trench Loose Fit Jacket Retro Long Windbreaker Woven Waist Autumn,32.84,"Chongqing Retro Rules Trading Co., Ltd.",Min. order: 2 pieces,4.9,6 sold,https://s.alicdn.com/@sc04/kf/Hc5fcff9e23424554be859c212ace9f37g.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Maden-Wholesale-Men-s-Coat-Vintage_1600980534927.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:55.294Z
High Quality Winter Oversized Plain Comfort Bubble Jacke Custom Logo Fashion Plus Size Streetwear Warm Hooded Women'S,26.59,"Jinjiang Ximeng Clothing Co., Ltd.",Min. order: 2 pieces,4.7,1 sold,https://s.alicdn.com/@sc04/kf/H962c6d6212dd4525925c76110aad7b5cA.jpg_300x300.jpg,https://www.alibaba.com/product-detail/High-Quality-Winter-Oversized-Plain-Comfort_1601265259047.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:55.494Z
Long Sleeve Sweatshirt Coat Oversize Women Hooded Outwear Hoodies Fleece Jackets Loose Overcoats,11.44-20.78,"Jiangxi Heywe Garment Co., Ltd.",Min. order: 80 pieces,4.8,nil,https://s.alicdn.com/@sc04/kf/Ha70385dae9c24c6fa73d11738d5e3793m.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Long-Sleeve-Sweatshirt-Coat-Oversize-Women_1600609836935.html,2025-02-19T06:53:55.693Z
Oversize Heavy Denim Jackets and Coats for Women Hot Selling Light Blue Broken Hole Wholesale Denim Jackets Suppliers,11.58,"Guangzhou Yinshi Apprael Co., Ltd.",Min. order: 5 pieces,4.5,8 sold,https://s.alicdn.com/@sc04/kf/H834281b1056c49e19553139e0ffbdfd5t.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Oversize-Heavy-Denim-Jackets-and-Coats_1601294205133.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:55.889Z
TWOTWINSTYLE Manufacturer's Straight Hair Design Retro Contrasting Color Loose Long Sleeved Jacket,32.79,"Zhejiang Aicai Trade Co., Ltd.",Min. order: 1 piece,4.5,nil,https://s.alicdn.com/@sc04/kf/Hf7502918b45d4319a152d7a75eccde52u.jpg_300x300.jpg,https://www.alibaba.com/product-detail/TWOTWINSTYLE-Manufacturer-s-Straight-Hair-Design_1601294076084.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:56.079Z
Bettergirl New Style Double-Breasted Oversized Loose Wash Jean Denim Jackets Women,26.00,"Guangzhou Bettergirl Fashion Co., Ltd.",Min. order: 2 pieces,4.8,6 sold,https://s.alicdn.com/@sc04/kf/Hd62df44f474f462c959c21b21dfb24f4H.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Bettergirl-New-Style-Double-Breasted-Oversized_1601211376062.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:56.286Z
